RoundID: 2021-08-10-06-13-04_-_kit_carson
CourseID: kit_carson
CourseName: Kit Carson
Notes: Great Round!

row,hole,tee,pin,lat,lon,disc
0,1,reg,A,33.079341,-117.058583,BARELY_KNOW_HER
1,1,reg,A,33.079929,-117.057926,JUDY
2,1,reg,A,33.079947,-117.057800,BASKET
3,2,reg,A,33.079676,-117.057618,BARELY_KNOW_HER
4,2,reg,A,33.078944,-117.057828,JUDY
5,2,reg,A,33.078940,-117.057842,BASKET
6,3,reg,B,33.079355,-117.057288,FLIPPER
7,3,reg,B,33.080416,-117.057100,BUZZBUZZ
8,3,reg,B,33.080701,-117.057536,JUDY
9,3,reg,B,33.080684,-117.057442,BASKET
10,4,reg,B,33.080419,-117.057765,FLIPPER
11,4,reg,B,33.079645,-117.058337,BUZZBUZZ
12,4,reg,B,33.079439,-117.058868,JUDY
13,4,reg,B,33.079461,-117.058787,BASKET
14,5,reg,A,33.079305,-117.059316,BARELY_KNOW_HER
15,5,reg,A,33.079093,-117.060158,UNDEFINED
16,5,reg,A,33.079140,-117.060185,BASKET
17,6,reg,A,33.080816,-117.061106,BARELY_KNOW_HER
18,6,reg,A,33.081365,-117.061128,JUDY
19,6,reg,A,33.081402,-117.061125,BASKET
20,7,reg,A,33.081508,-117.060904,BARELY_KNOW_HER
21,7,reg,A,33.081821,-117.061029,BUZZBUZZ
22,7,reg,A,33.081995,-117.061091,JUDY
23,7,reg,A,33.082092,-117.061044,BASKET
24,8,reg,A,33.082243,-117.061013,BARELY_KNOW_HER
25,8,reg,A,33.082870,-117.060814,JUDY
26,8,reg,A,33.082899,-117.060744,BASKET
27,9,reg,A,33.083486,-117.060999,UNDEFINED
28,9,reg,A,33.083915,-117.061269,JUDY
29,9,reg,A,33.084126,-117.061307,BASKET
30,10,reg,A,33.084455,-117.061342,FLIPPER
31,10,reg,A,33.083709,-117.061656,BASKET
32,11,reg,D,33.083426,-117.061863,FLIPPER
33,11,reg,D,33.083755,-117.061582,FLIPPER
34,11,reg,D,33.084588,-117.061331,FLIPPER
35,11,reg,D,33.084588,-117.061345,JUDY
36,11,reg,D,33.084791,-117.061522,BASKET
37,12,reg,B,33.084670,-117.061963,BARELY_KNOW_HER
38,12,reg,B,33.083882,-117.062365,JUDY
39,12,reg,B,33.083950,-117.062322,JUDY
40,12,reg,B,33.083751,-117.062269,BARELY_KNOW_HER
41,12,reg,B,33.082914,-117.061834,JUDY
42,12,reg,B,33.082478,-117.061413,FLIPPER
43,12,reg,B,33.081368,-117.061402,JUDY
44,12,reg,B,33.081506,-117.061293,JUDY
45,12,reg,B,33.081791,-117.061594,BARELY_KNOW_HER
46,12,reg,B,33.081056,-117.061697,JUDY
47,12,reg,B,33.081095,-117.061754,JUDY
48,12,reg,B,33.081220,-117.062068,FLIPPER
49,12,reg,B,33.080485,-117.062625,JUDY
50,12,reg,B,33.080499,-117.062528,JUDY
51,12,reg,B,33.080540,-117.062256,FLIPPER
52,12,reg,B,33.080193,-117.062435,JUDY
53,12,reg,B,33.079873,-117.062578,JUDY
54,12,reg,B,33.079565,-117.062488,FLIPPER
55,12,reg,B,33.083887,-117.062243,BASKET
