RoundID: 2021-08-10-06-13-04_-_kit_carson
CourseID: kit_carson
CourseName: Kit Carson

row,hole,tee,pin,lat,lon,disc
0,1,reg,A,33.079344,-117.058686,DESTROYAH
1,1,reg,A,33.079929,-117.057926,JUDGEY-JOY
2,1,reg,A,33.079936,-117.057802,JUDGEY-JOY
3,2,reg,A,33.079720,-117.057621,DESTROYAH
4,2,reg,A,33.078944,-117.057828,JUDGEY-JOY
5,2,reg,A,33.078951,-117.057848,BIG-PINK
6,3,reg,B,33.079315,-117.057317,BIG-PINK
7,3,reg,B,33.080416,-117.057100,BUZZZY-BOY
8,3,reg,B,33.080694,-117.057454,
9,3,reg,B,33.080701,-117.057536,JUDGEY-JOY
10,4,reg,B,33.080474,-117.057724,BIG-PINK
11,4,reg,B,33.079645,-117.058337,BUZZZY-BOY
12,4,reg,B,33.079439,-117.058868,JUDGEY-JOY
13,4,reg,B,33.079428,-117.058800,JUDGEY-JOY
14,5,reg,A,33.079295,-117.059267,DESTROYAH
15,5,reg,A,33.079140,-117.060203,JUDGEY-JOY
16,5,reg,A,33.080867,-117.061076,DESTROYAH
17,5,reg,A,33.081365,-117.061128,JUDGEY-JOY
18,5,reg,A,33.081350,-117.061020,DESTROYAH
19,5,reg,A,33.081821,-117.061029,BUZZZY-BOY
20,5,reg,A,33.081995,-117.061091,JUDGEY-JOY
21,5,reg,A,33.082225,-117.061022,DESTROYAH
22,5,reg,A,33.082893,-117.060771,JUDGEY-JOY
23,5,reg,A,33.082870,-117.060814,JUDGEY-JOY
24,5,reg,A,33.083915,-117.061269,JUDGEY-JOY
25,5,reg,A,33.084116,-117.061296,JUDGEY-JOY
26,5,reg,A,33.084477,-117.061322,BIG-PINK
27,5,reg,A,33.083658,-117.061615,JUDGEY-JOY
28,5,reg,A,33.083423,-117.061852,BIG-PINK
29,5,reg,A,33.083755,-117.061582,BIG-PINK
30,5,reg,A,33.084588,-117.061331,BIG-PINK
31,5,reg,A,33.084588,-117.061345,JUDGEY-JOY
32,5,reg,A,33.084843,-117.061516,JUDGEY-JOY
33,5,reg,A,33.084741,-117.061988,DESTROYAH
34,5,reg,A,33.083882,-117.062365,JUDGEY-JOY
35,5,reg,A,33.083950,-117.062322,JUDGEY-JOY
36,5,reg,A,33.083751,-117.062269,DESTROYAH
37,5,reg,A,33.082914,-117.061834,JUDGEY-JOY
38,5,reg,A,33.082478,-117.061413,BIG-PINK
39,5,reg,A,33.081368,-117.061402,JUDGEY-JOY
40,5,reg,A,33.081506,-117.061293,JUDGEY-JOY
41,5,reg,A,33.081791,-117.061594,DESTROYAH
42,5,reg,A,33.081056,-117.061697,JUDGEY-JOY
43,5,reg,A,33.081095,-117.061754,JUDGEY-JOY
44,5,reg,A,33.081220,-117.062068,BIG-PINK
45,5,reg,A,33.080485,-117.062625,JUDGEY-JOY
46,5,reg,A,33.080499,-117.062528,JUDGEY-JOY
47,5,reg,A,33.080540,-117.062256,BIG-PINK
48,5,reg,A,33.080193,-117.062435,JUDGEY-JOY
49,5,reg,A,33.079873,-117.062578,JUDGEY-JOY
50,5,reg,A,33.079565,-117.062488,BIG-PINK
51,5,reg,A,33.079341,-117.061433,JUDGEY-JOY
52,5,reg,A,33.079527,-117.061276,JUDGEY-JOY
