lat,lon,disc
36.068793,-115.116736,BUZZZY-BOY
36.068675,-115.117689,JUDGEY-JOY
36.068705,-115.117778,JUDGEY-JOY
36.068717,-115.117783,JUDGEY-JOY
36.068946,-115.117812,BIG-PINK
36.069940,-115.117782,JUDGEY-JOY
36.069809,-115.117812,JUDGEY-JOY
36.069836,-115.117805,JUDGEY-JOY
36.070129,-115.117172,DESTROYAH
36.069953,-115.116309,JUDGEY-JOY
36.069992,-115.116171,JUDGEY-JOY
36.070007,-115.116166,JUDGEY-JOY
36.069627,-115.115502,DESTROYAH
36.070632,-115.115285,JUDGEY-JOY
36.070846,-115.115428,JUDGEY-JOY
36.070834,-115.115428,JUDGEY-JOY
36.070673,-115.115062,BUZZZY-BOY
36.070894,-115.114119,JUDGEY-JOY
36.070928,-115.114354,JUDGEY-JOY
36.070910,-115.114321,JUDGEY-JOY
36.070911,-115.114057,DESTROYAH
36.070608,-115.113204,JUDGEY-JOY
36.070688,-115.112971,JUDGEY-JOY
36.070645,-115.112984,JUDGEY-JOY
36.070536,-115.113221,DESTROYAH
36.070724,-115.113799,BUZZZY-BOY
36.070724,-115.113805,BUZZZY-BOY
36.070937,-115.114237,JUDGEY-JOY
36.070922,-115.114317,JUDGEY-JOY
36.070689,-115.115872,BUZZZY-BOY
36.069807,-115.115788,JUDGEY-JOY
36.069908,-115.115810,JUDGEY-JOY
36.069915,-115.115806,JUDGEY-JOY
36.070136,-115.116078,DESTROYAH
36.070621,-115.117145,JUDGEY-JOY
36.070559,-115.117120,JUDGEY-JOY
36.070289,-115.117305,DESTROYAH
36.071353,-115.117409,JUDGEY-JOY
36.071380,-115.117307,JUDGEY-JOY
36.071398,-115.117638,DESTROYAH
36.070405,-115.117829,BUZZZY-BOY
36.070231,-115.117647,JUDGEY-JOY
36.070244,-115.117657,JUDGEY-JOY
36.070172,-115.117434,DESTROYAH
36.069866,-115.118116,JUDGEY-JOY
36.069854,-115.118403,JUDGEY-JOY
36.069828,-115.118422,JUDGEY-JOY
36.069716,-115.118400,DESTROYAH
36.068827,-115.117904,JUDGEY-JOY
36.068898,-115.118272,JUDGEY-JOY
36.068935,-115.118260,JUDGEY-JOY
36.068883,-115.118369,DESTROYAH
36.068373,-115.118346,BUZZZY-BOY
36.068058,-115.118355,JUDGEY-JOY
36.068016,-115.118324,JUDGEY-JOY
36.067601,-115.117378,DESTROYAH
36.067364,-115.118353,JUDGEY-JOY
36.067393,-115.118275,JUDGEY-JOY
36.067122,-115.118019,DESTROYAH
36.066568,-115.117837,DESTROYAH
36.065853,-115.118361,JUDGEY-JOY
36.065748,-115.118200,JUDGEY-JOY
36.065769,-115.118218,JUDGEY-JOY
36.065627,-115.118197,BUZZZY-BOY
36.064826,-115.118026,JUDGEY-JOY
36.064804,-115.118148,JUDGEY-JOY
36.064810,-115.118170,JUDGEY-JOY
36.064578,-115.117770,DESTROYAH
36.064233,-115.116762,JUDGEY-JOY
36.064286,-115.116420,JUDGEY-JOY
36.064269,-115.116446,JUDGEY-JOY
36.064533,-115.116517,DESTROYAH
36.064167,-115.115288,BUZZZY-BOY
36.064317,-115.114716,JUDGEY-JOY
36.064285,-115.114797,JUDGEY-JOY
36.064453,-115.114843,BUZZZY-BOY
36.064620,-115.115534,BUZZZY-BOY
36.064726,-115.115882,JUDGEY-JOY
36.064733,-115.115892,JUDGEY-JOY
36.064559,-115.116553,DESTROYAH
36.064645,-115.116936,DESTROYAH
36.064843,-115.117218,BUZZZY-BOY
36.065069,-115.117564,JUDGEY-JOY
36.065093,-115.117591,JUDGEY-JOY
36.064531,-115.117872,DESTROYAH
36.065405,-115.117816,JUDGEY-JOY
36.065547,-115.117999,JUDGEY-JOY
36.065571,-115.117944,JUDGEY-JOY
36.066099,-115.117837,DESTROYAH
36.066990,-115.117930,BUZZZY-BOY
36.067192,-115.117647,JUDGEY-JOY
36.067203,-115.117743,JUDGEY-JOY
36.066628,-115.117425,DESTROYAH
36.067497,-115.117583,JUDGEY-JOY
36.067431,-115.117466,JUDGEY-JOY
36.067450,-115.117485,JUDGEY-JOY
