hole,variation,lat,lon
1,X,36.0687171848732,-115.1177826396
2,X,36.0698362436029,-115.117804552763
3,X,36.0700074767599,-115.116166078081
4,X,36.0708337478393,-115.115427627837
5,X,36.0709102205037,-115.114320501088
6,X,36.070645390459,-115.112983624535
7,X,36.0709219484175,-115.114316928918
8,X,36.0699149198531,-115.115806151535
9,X,36.0705592474717,-115.117119524747
10,X,36.0713802799366,-115.117306906786
11,X,36.0702435416908,-115.117656891632
12,X,36.0698278269474,-115.118421571201
13,X,36.0689350172688,-115.11825951917
14,X,36.0680157059049,-115.118324008641
15,X,36.0673931038201,-115.118274748871
16,X,36.0657688438175,-115.118217718661
17,X,36.0648103770585,-115.118170091434
18,X,36.0642685029669,-115.116445955762
19,X,36.0642843350604,-115.114797753856
20,X,36.0647329296225,-115.115891894468
21,X,36.0650931525442,-115.117591373451
22,X,36.0655706623959,-115.117943565894
23,X,36.0672030733255,-115.117743300141
24,X,36.06745032832,-115.117485290787
