hole,variation,lat,lon
1,reg,33.079323,-117.058426
2,reg,33.079671,-117.057614
3,reg,33.079325,-117.057286
4,reg,33.08042,-117.057761
5,reg,33.079287,-117.059303
6,reg,33.080951,-117.061119
7,reg,33.081498,-117.060881
8,reg,33.082325,-117.060985
9,reg,33.083465,-117.060996
10,reg,33.084562,-117.061425
11,reg,33.083458,-117.061817
12,reg,33.08464,-117.06205
13,reg,33.083667,-117.062232
14,reg,33.082546,-117.061173
15,reg,33.081755,-117.061564
16,reg,33.081177,-117.062125
17,reg,33.080489,-117.062235
18,reg,33.079649,-117.06245
