id,brand,mold,type,speed,glide,turn,fade
LATITUDE_64_MISSILEN,Latitude 64,Missilen,Distance,15,3,-0.5,4.5
LATITUDE_64_RAKETEN,Latitude 64,Raketen,Distance,15,4,-2,3
AXIOM_EXCITE,Axiom Discs,Excite,Distance,14.5,5.5,-2,2
AXIOM_TANTRUM,Axiom Discs,Tantrum,Distance,14.5,5,-1.5,3
MVP_DIMENSION,MVP Disc Sports,Dimension,Distance,14.5,5,0,3
MVP_LIMIT,MVP Disc Sports,Limit,Distance,14.5,3.5,0,4
MVP_RELATIVITY,MVP Disc Sports,Relativity,Distance,14.5,5.5,-3,1.5
MVP_TELEPORT,MVP Disc Sports,Teleport,Distance,14.5,5,-1.5,2.5
AXIOM_DELIRIUM,Axiom Discs,Delirium,Distance,14.5,5,-0.5,3
ABC_BEE_LINE,ABC Discs,Bee Line,Distance,14,5,-3,2
DAREDEVIL_ALBATROSS,Daredevil Discs,Albatross,Distance,14,4,0,5
DAREDEVIL_GRAY_JAY,Daredevil Discs,Gray Jay,Distance,14,4,0,5
DAREDEVIL_MERLIN,Daredevil Discs,Merlin,Distance,14,4,-1,5
DGA_TORRENT,Disc Golf Association,Torrent,Distance,14,5,-1,2
DYNAMIC_FREEDOM,Dynamic Discs,Freedom,Distance,14,5,-3,3
INNOVA_COLOSSUS,Innova,Colossus,Distance,14,5,-2,3
INNOVA_CORVETTE,Innova,Corvette,Distance,14,6,-1,2
INNOVA_FIRESTORM,Innova,Firestorm,Distance,14,4,0,3
KASTAPLAST_RASK,Kastaplast,Rask,Distance,14,3,0,4
LATITUDE_64_BALLISTA,Latitude 64,Ballista,Distance,14,5,-1,3
LATITUDE_64_BALLISTA_PRO,Latitude 64,Ballista Pro,Distance,14,4,0,3
LATITUDE_64_KNIGHT,Latitude 64,Knight,Distance,14,4,-1.5,4
LEGACY_CANNON,Legacy Discs,Cannon,Distance,14,5,-3,3
LEGACY_RAMPAGE,Legacy Discs,Rampage,Distance,14,5,-1,4
VIKING_THUNDER_GOD_THOR,Viking Discs,Thunder God Thor,Distance,14,5,0,2
WESTSIDE_CATAPULT,Westside Golf Discs,Catapult,Distance,14,4,-0.5,3
WESTSIDE_DESTINY,Westside Golf Discs,Destiny,Distance,14,6,-2,3
WESTSIDE_KING,Westside Golf Discs,King,Distance,14,5,-1.5,3
WESTSIDE_KING_VIP_AIR,Westside Golf Discs,King VIP Air,Distance,14,5,-1.5,3
WESTSIDE_QUEEN,Westside Golf Discs,Queen,Distance,14,5,-3,2
WESTSIDE_WORLD,Westside Golf Discs,World,Distance,14,4,-0.5,3
YIKUN_LU,Yikun Sports,Lu,Distance,14,5,-1,3
AXIOM_MAYHEM,Axiom Discs,Mayhem,Distance,13,5,-1.5,2
AXIOM_PANIC,Axiom Discs,Panic,Distance,13,4,-0.5,3
AXIOM_TENACITY,Axiom Discs,Tenacity,Distance,13,5,-2.5,2
DAREDEVIL_BIGFOOT,Daredevil Discs,Bigfoot,Distance,13,5,-2,2
DGA_TEMPEST,Disc Golf Association,Tempest,Distance,13,5,-3,2
DISCMANIA_DD2_FRENZY,Discmania,DD2 Frenzy,Distance,13,5,-2,2
DISCRAFT_CRANK_SS,Discraft,Crank SS,Distance,13,5,-3,2
DISCRAFT_NUKE,Discraft,Nuke,Distance,13,5,-1,3
DISCRAFT_NUKE_OS,Discraft,Nuke OS,Distance,13,4,0,4
DISCRAFT_NUKE_SS,Discraft,Nuke SS,Distance,13,5,-3,3
DYNAMIC_CAPTAIN,Dynamic Discs,Captain,Distance,13,5,-2,2
DYNAMIC_DEFENDER,Dynamic Discs,Defender,Distance,13,5,0,3
DYNAMIC_SHERIFF,Dynamic Discs,Sheriff,Distance,13,5,-1,2
FLY_HIGH_TRAIN_WRECK,Fly High Discs,Train Wreck,Distance,13,5,-2,2
FULL_TURN_CRUISE,Full Turn Discs,Cruise,Distance,13,4,-2,3
GATEWAY_SAMURAI,Gateway Disc Sports,Samurai,Distance,13,6,-2,1
GATEWAY_SIREN,Gateway Disc Sports,Siren,Distance,13,5,-2,1
GATEWAY_SLAYER,Gateway Disc Sports,Slayer,Distance,13,5,-1,2
