num,time,disc,lat,lon
1,2021-08-03 06:23:29 -0700 PDT,BUZZZY-BOY,36.068793,-115.116736
2,2021-08-03 06:25:17 -0700 PDT,JUDGEY-JOY,36.068675,-115.117689
3,2021-08-03 06:25:42 -0700 PDT,JUDGEY-JOY,36.068705,-115.117778
4,2021-08-03 06:25:59 -0700 PDT,JUDGEY-JOY,36.068717,-115.117783
5,2021-08-03 06:27:28 -0700 PDT,BIG-PINK,36.068946,-115.117812
6,2021-08-03 06:29:30 -0700 PDT,JUDGEY-JOY,36.069940,-115.117782
7,2021-08-03 06:29:49 -0700 PDT,JUDGEY-JOY,36.069809,-115.117812
8,2021-08-03 06:29:54 -0700 PDT,JUDGEY-JOY,36.069836,-115.117805
9,2021-08-03 06:31:07 -0700 PDT,DESTROYAH,36.070129,-115.117172
10,2021-08-03 06:31:56 -0700 PDT,JUDGEY-JOY,36.069953,-115.116309
11,2021-08-03 06:32:13 -0700 PDT,JUDGEY-JOY,36.069992,-115.116171
12,2021-08-03 06:32:18 -0700 PDT,JUDGEY-JOY,36.070007,-115.116166
13,2021-08-03 06:34:52 -0700 PDT,DESTROYAH,36.069627,-115.115502
14,2021-08-03 06:36:44 -0700 PDT,JUDGEY-JOY,36.070632,-115.115285
15,2021-08-03 06:37:16 -0700 PDT,JUDGEY-JOY,36.070846,-115.115428
16,2021-08-03 06:37:22 -0700 PDT,JUDGEY-JOY,36.070834,-115.115428
17,2021-08-03 06:38:00 -0700 PDT,BUZZZY-BOY,36.070673,-115.115062
18,2021-08-03 06:39:19 -0700 PDT,JUDGEY-JOY,36.070894,-115.114119
19,2021-08-03 06:39:42 -0700 PDT,JUDGEY-JOY,36.070928,-115.114354
20,2021-08-03 06:39:50 -0700 PDT,JUDGEY-JOY,36.070910,-115.114321
21,2021-08-03 06:40:17 -0700 PDT,DESTROYAH,36.070911,-115.114057
22,2021-08-03 06:41:29 -0700 PDT,JUDGEY-JOY,36.070608,-115.113204
23,2021-08-03 06:41:54 -0700 PDT,JUDGEY-JOY,36.070688,-115.112971
24,2021-08-03 06:42:04 -0700 PDT,JUDGEY-JOY,36.070645,-115.112984
25,2021-08-03 06:42:44 -0700 PDT,DESTROYAH,36.070536,-115.113221
26,2021-08-03 06:43:44 -0700 PDT,BUZZZY-BOY,36.070724,-115.113799
27,2021-08-03 06:43:45 -0700 PDT,BUZZZY-BOY,36.070724,-115.113805
28,2021-08-03 06:44:33 -0700 PDT,JUDGEY-JOY,36.070937,-115.114237
29,2021-08-03 06:44:48 -0700 PDT,JUDGEY-JOY,36.070922,-115.114317
30,2021-08-03 06:47:33 -0700 PDT,BUZZZY-BOY,36.070689,-115.115872
31,2021-08-03 06:48:46 -0700 PDT,JUDGEY-JOY,36.069807,-115.115788
32,2021-08-03 06:49:06 -0700 PDT,JUDGEY-JOY,36.069908,-115.115810
33,2021-08-03 06:49:13 -0700 PDT,JUDGEY-JOY,36.069915,-115.115806
34,2021-08-03 06:49:51 -0700 PDT,DESTROYAH,36.070136,-115.116078
35,2021-08-03 06:51:19 -0700 PDT,JUDGEY-JOY,36.070621,-115.117145
36,2021-08-03 06:51:29 -0700 PDT,JUDGEY-JOY,36.070559,-115.117120
37,2021-08-03 06:52:32 -0700 PDT,DESTROYAH,36.070289,-115.117305
38,2021-08-03 06:54:00 -0700 PDT,JUDGEY-JOY,36.071353,-115.117409
39,2021-08-03 06:54:21 -0700 PDT,JUDGEY-JOY,36.071380,-115.117307
40,2021-08-03 06:54:59 -0700 PDT,DESTROYAH,36.071398,-115.117638
41,2021-08-03 06:56:59 -0700 PDT,BUZZZY-BOY,36.070405,-115.117829
42,2021-08-03 06:57:40 -0700 PDT,JUDGEY-JOY,36.070231,-115.117647
43,2021-08-03 06:57:47 -0700 PDT,JUDGEY-JOY,36.070244,-115.117657
44,2021-08-03 06:58:50 -0700 PDT,DESTROYAH,36.070172,-115.117434
45,2021-08-03 06:59:54 -0700 PDT,JUDGEY-JOY,36.069866,-115.118116
46,2021-08-03 07:00:24 -0700 PDT,JUDGEY-JOY,36.069854,-115.118403
47,2021-08-03 07:00:29 -0700 PDT,JUDGEY-JOY,36.069828,-115.118422
48,2021-08-03 07:00:42 -0700 PDT,DESTROYAH,36.069716,-115.118400
49,2021-08-03 07:02:01 -0700 PDT,JUDGEY-JOY,36.068827,-115.117904
50,2021-08-03 07:02:48 -0700 PDT,JUDGEY-JOY,36.068898,-115.118272
51,2021-08-03 07:03:00 -0700 PDT,JUDGEY-JOY,36.068935,-115.118260
52,2021-08-03 07:03:27 -0700 PDT,DESTROYAH,36.068883,-115.118369
53,2021-08-03 07:04:31 -0700 PDT,BUZZZY-BOY,36.068373,-115.118346
54,2021-08-03 07:05:01 -0700 PDT,JUDGEY-JOY,36.068058,-115.118355
55,2021-08-03 07:05:09 -0700 PDT,JUDGEY-JOY,36.068016,-115.118324
56,2021-08-03 07:06:48 -0700 PDT,DESTROYAH,36.067601,-115.117378
57,2021-08-03 07:08:12 -0700 PDT,JUDGEY-JOY,36.067364,-115.118353
58,2021-08-03 07:08:24 -0700 PDT,JUDGEY-JOY,36.067393,-115.118275
59,2021-08-03 07:09:20 -0700 PDT,DESTROYAH,36.067122,-115.118019
60,2021-08-03 07:10:27 -0700 PDT,DESTROYAH,36.066568,-115.117837
61,2021-08-03 07:11:21 -0700 PDT,JUDGEY-JOY,36.065853,-115.118361
62,2021-08-03 07:11:45 -0700 PDT,JUDGEY-JOY,36.065748,-115.118200
63,2021-08-03 07:11:53 -0700 PDT,JUDGEY-JOY,36.065769,-115.118218
64,2021-08-03 07:12:15 -0700 PDT,BUZZZY-BOY,36.065627,-115.118197
65,2021-08-03 07:13:41 -0700 PDT,JUDGEY-JOY,36.064826,-115.118026
66,2021-08-03 07:13:59 -0700 PDT,JUDGEY-JOY,36.064804,-115.118148
67,2021-08-03 07:14:13 -0700 PDT,JUDGEY-JOY,36.064810,-115.118170
68,2021-08-03 07:15:10 -0700 PDT,DESTROYAH,36.064578,-115.117770
69,2021-08-03 07:16:01 -0700 PDT,JUDGEY-JOY,36.064233,-115.116762
70,2021-08-03 07:16:24 -0700 PDT,JUDGEY-JOY,36.064286,-115.116420
71,2021-08-03 07:16:30 -0700 PDT,JUDGEY-JOY,36.064269,-115.116446
72,2021-08-03 07:17:03 -0700 PDT,DESTROYAH,36.064533,-115.116517
73,2021-08-03 07:18:20 -0700 PDT,BUZZZY-BOY,36.064167,-115.115288
74,2021-08-03 07:19:04 -0700 PDT,JUDGEY-JOY,36.064317,-115.114716
75,2021-08-03 07:19:17 -0700 PDT,JUDGEY-JOY,36.064285,-115.114797
76,2021-08-03 07:20:47 -0700 PDT,BUZZZY-BOY,36.064453,-115.114843
77,2021-08-03 07:21:31 -0700 PDT,BUZZZY-BOY,36.064620,-115.115534
78,2021-08-03 07:21:57 -0700 PDT,JUDGEY-JOY,36.064726,-115.115882
79,2021-08-03 07:22:00 -0700 PDT,JUDGEY-JOY,36.064733,-115.115892
80,2021-08-03 07:22:57 -0700 PDT,DESTROYAH,36.064559,-115.116553
81,2021-08-03 07:23:43 -0700 PDT,DESTROYAH,36.064645,-115.116936
82,2021-08-03 07:24:18 -0700 PDT,BUZZZY-BOY,36.064843,-115.117218
83,2021-08-03 07:24:51 -0700 PDT,JUDGEY-JOY,36.065069,-115.117564
84,2021-08-03 07:24:55 -0700 PDT,JUDGEY-JOY,36.065093,-115.117591
85,2021-08-03 07:25:51 -0700 PDT,DESTROYAH,36.064531,-115.117872
86,2021-08-03 07:26:47 -0700 PDT,JUDGEY-JOY,36.065405,-115.117816
87,2021-08-03 07:27:13 -0700 PDT,JUDGEY-JOY,36.065547,-115.117999
88,2021-08-03 07:27:20 -0700 PDT,JUDGEY-JOY,36.065571,-115.117944
89,2021-08-03 07:28:08 -0700 PDT,DESTROYAH,36.066099,-115.117837
90,2021-08-03 07:29:16 -0700 PDT,BUZZZY-BOY,36.066990,-115.117930
91,2021-08-03 07:30:03 -0700 PDT,JUDGEY-JOY,36.067192,-115.117647
92,2021-08-03 07:30:14 -0700 PDT,JUDGEY-JOY,36.067203,-115.117743
93,2021-08-03 07:31:50 -0700 PDT,DESTROYAH,36.066628,-115.117425
94,2021-08-03 07:33:23 -0700 PDT,JUDGEY-JOY,36.067497,-115.117583
95,2021-08-03 07:33:39 -0700 PDT,JUDGEY-JOY,36.067431,-115.117466
96,2021-08-03 07:33:44 -0700 PDT,JUDGEY-JOY,36.067450,-115.117485
