hole,variation,lat,lon
1,x,45.2715832385227,-111.288077384233
2,x,45.271723864321,-111.286438554525
3,x,45.2719503749413,-111.286745667458
4,x,45.2722193551288,-111.285753250122
5,x,45.2723599793509,-111.284807771444
6,x,45.2723571479942,-111.284117102623
7,x,45.271833344567,-111.281980723143
8,x,45.2714548817852,-111.28178358078
14,x,45.2717993679616,-111.283599436283
15,x,45.2720957187799,-111.284265965223
16,x,45.2719296115054,-111.285074651241
17,x,45.2716332598197,-111.285320073366
18,x,45.2709206881273,-111.287280768156
