hole,variation,lat,lon
1,reg,45.271543598973,-111.289173066616
2,reg,45.2715077345946,-111.287823915482
3,reg,45.2717455716279,-111.286126077175
4,long,45.2720287096538,-111.287005841732
5,reg,45.272423212948,-111.285686194897
6,reg,45.2724038653623,-111.284754127264
7,reg,45.2723590355653,-111.283244043589
8,reg,45.2718814780566,-111.28246486187
14,reg,45.2715813509257,-111.282784044743
15,reg,45.2718824218501,-111.283922642469
16,reg,45.2722835326694,-111.28477960825
17,reg,45.2718503328621,-111.285093426704
18,long,45.2715738005372,-111.285658031702
