hole,variation,lat,lon
5,x,38.93081,-119.969897
6,x,38.931773,-119.97045
7,x,38.931946,-119.971256
8,x,38.932159,-119.970389
9,x,38.932238,-119.969022
16,x,38.93182,-119.966418
17,x,38.930255,-119.965776
18,x,38.929578,-119.966435
19,x,38.928504,-119.965829
20,x,38.927512,-119.966251
21,x,38.927099,-119.965465
22,x,38.928046,-119.965206
23,x,38.92896,-119.966482
24,x,38.93006,-119.967173
25,x,38.931084,-119.967303
26,x,38.931576,-119.967639
27,x,38.932152,-119.967858
10,x,38.933262,-119.96783
11,x,38.934265,-119.967484
12,x,38.934251,-119.966728
13,x,38.933417,-119.966399
14,x,38.932387,-119.966723
15,x,38.932517,-119.967542
1,x,38.932019,-119.969427
2,x,38.931237,-119.969037
3,x,38.930656,-119.969301
4,x,38.929871,-119.96884
