hole,variation,lat,lon
5,reg,38.929892,-119.969539
6,reg,38.931387,-119.969524
7,reg,38.931652,-119.9706
8,reg,38.932066,-119.971201
9,reg,38.932116,-119.97029
16,reg,38.93224,-119.967817
17,reg,38.931205,-119.966632
18,reg,38.930446,-119.966391
19,reg,38.929202,-119.966275
20,reg,38.92836,-119.965788
21,reg,38.92735,-119.96664
22,reg,38.927339,-119.965638
23,reg,38.92814,-119.966311
24,reg,38.929145,-119.966677
25,reg,38.930153,-119.967114
26,reg,38.93079,-119.967657
27,reg,38.931467,-119.967011
10,reg,38.932286,-119.967838
11,reg,38.933317,-119.967351
12,reg,38.934522,-119.967876
13,reg,38.933951,-119.966939
14,reg,38.933259,-119.966871
15,reg,38.932219,-119.966725
1,reg,38.932147,-119.968635
2,reg,38.931686,-119.969712
3,reg,38.931341,-119.969353
4,reg,38.930761,-119.969088
