hole,variation,lat,lon
1,A,32.8454582434132,-116.994456075459
1,B,32.8454493538432,-116.994316461522
2,A,32.8458050349678,-116.993636951827
2,B,32.8459218760617,-116.99341911631
3,A,32.8460867709988,-116.992731789513
3,B,32.8464456393379,-116.99263389279
4,A,32.8470243797779,-116.991712257958
4,B,32.8471319594493,-116.991839446552
5,A,32.8469922296439,-116.991471992693
5,B,32.8468521723028,-116.991365058939
6,A,32.8460833117752,-116.991363366209
6,B,32.8458914012933,-116.991377537755
7,A,32.8450582662479,-116.992513878351
7,B,32.8451246634225,-116.992329032978
8,A,32.8456727625133,-116.991881295148
8,B,32.8458683041516,-116.991762421619
9,A,32.846568106573,-116.992066247611
9,B,32.8463950243705,-116.992191173833
