hole,variation,lat,lon
1,X,36.06119506297,-115.080764079002
2,X,36.0630201488201,-115.081370877482
3,X,36.0624246837162,-115.0803237725
4,X,36.0636625458577,-115.080795150747
5,X,36.06476322056,-115.079538241833
6,X,36.0649827766071,-115.077834792003
7,X,36.0652950068765,-115.07699586892
8,X,36.0660551450004,-115.076311026978
9,X,36.0647562933374,-115.076798480389
10,X,36.0639091042255,-115.07704256257
11,X,36.0630267756722,-115.077396711982
12,X,36.064862022007,-115.077192878224
13,X,36.0625091099947,-115.079565369477
14,X,36.0620937699303,-115.080163241036
15,X,36.0621566276257,-115.077607801548
16,X,36.0622391977722,-115.076130495246
