hole,variation,lat,lon
1,reg,36.0602261543575,-115.081569338609
2,reg,36.0612820338445,-115.080564828254
3,reg,36.0631392858526,-115.081085674339
4,reg,36.0628451598738,-115.080375088576
5,reg,36.0639315243097,-115.080733687008
6,reg,36.0648159566318,-115.080316422435
7,reg,36.0655140360113,-115.078500119174
8,reg,36.065604466716,-115.077661955335
9,reg,36.0657353844476,-115.076053931632
10,reg,36.0647362633511,-115.076224483686
11,reg,36.0636541354263,-115.076440250277
12,reg,36.063168545341,-115.077793675825
13,reg,36.0646926545781,-115.077826475813
14,reg,36.0621806764105,-115.078914255485
15,reg,36.0615114438209,-115.079549270764
16,reg,36.0621958668594,-115.077410667875
